번호,사업명,권역,연도,월,주차,수거일,지역1,지역2,환경,방법,종,개체수,채집기간,Index,실험개체수,Pool No.,양성 Pools,비고,확정,확정일자,입력일자,입력자(아이디),조사년도,조사월,조사주
92,기후변화매개체감시거점센터,강원1권,2025,9,3주,2025-09-16,강원,퇴계동주민센터,도심,LED2,Anopheles spp.,1,1,1,0,0,0,,N,,2025-09-19,오유경(yuyu66),2025년,09월,3주
93,기후변화매개체감시거점센터,강원1권,2025,9,3주,2025-09-16,강원,퇴계동주민센터,도심,LED2,Culex pipiens,14,1,14,14,1,0,,N,,2025-09-19,오유경(yuyu66),2025년,09월,3주
94,기후변화매개체감시거점센터,강원1권,2025,9,3주,2025-09-16,강원,춘천시보건소,도심,LED1,Aedes vexans,1,1,1,1,1,0,,N,,2025-09-19,오유경(yuyu66),2025년,09월,3주
95,기후변화매개체감시거점센터,강원1권,2025,9,3주,2025-09-16,강원,춘천시보건소,도심,LED1,Aedes albopictus,1,1,1,1,1,0,,N,,2025-09-19,오유경(yuyu66),2025년,09월,3주
96,기후변화매개체감시거점센터,강원1권,2025,9,3주,2025-09-16,강원,춘천시보건소,도심,LED1,Anopheles spp.,2,1,2,0,0,0,,N,,2025-09-19,오유경(yuyu66),2025년,09월,3주
97,기후변화매개체감시거점센터,강원1권,2025,9,3주,2025-09-16,강원,춘천시보건소,도심,LED1,Culex pipiens,12,1,12,12,1,0,,N,,2025-09-19,오유경(yuyu66),2025년,09월,3주
98,기후변화매개체감시거점센터,강원1권,2025,9,3주,2025-09-17,강원,춘천시보건소,도심,DMS1,Armigeres subalbatus,1,2,0,1,1,0,"21, 24, 87.50 %",N,,2025-09-19,오유경(yuyu66),2025년,09월,3주
99,기후변화매개체감시거점센터,강원1권,2025,9,3주,2025-09-17,강원,춘천시보건소,도심,DMS1,Culex tritaeniorhynchus,1,2,0,1,1,0,"21, 24, 87.50 %",N,,2025-09-19,오유경(yuyu66),2025년,09월,3주
100,기후변화매개체감시거점센터,강원1권,2025,9,3주,2025-09-17,강원,춘천시보건소,도심,DMS1,Culex pipiens,19,2,9,19,1,0,"21, 24, 87.50 %",N,,2025-09-19,오유경(yuyu66),2025년,09월,3주
101,기후변화매개체감시거점센터,강원1권,2025,9,2주,2025-09-10,강원,춘천시보건소,도심,DMS1,Aedes vexans,1,2,0,1,1,0,"22, 44, 50.00 %",N,,2025-09-15,오유경(yuyu66),2025년,09월,2주
102,기후변화매개체감시거점센터,강원1권,2025,9,2주,2025-09-10,강원,춘천시보건소,도심,DMS1,Aedes albopictus,1,2,0,1,1,0,"22, 44, 50.00 %",N,,2025-09-15,오유경(yuyu66),2025년,09월,2주
103,기후변화매개체감시거점센터,강원1권,2025,9,2주,2025-09-10,강원,춘천시보건소,도심,DMS1,Culex pipiens,20,2,10,20,1,0,"22, 44, 50.00 %",N,,2025-09-15,오유경(yuyu66),2025년,09월,2주
104,기후변화매개체감시거점센터,강원1권,2025,9,1주,2025-09-03,강원,춘천시보건소,도심,DMS1,Aedes vexans,2,2,1,2,1,0,"29, 39, 74.36 %",N,,2025-09-05,오유경(yuyu66),2025년,09월,1주
105,기후변화매개체감시거점센터,강원1권,2025,9,1주,2025-09-03,강원,춘천시보건소,도심,DMS1,Aedes albopictus,1,2,0,1,1,0,"29, 39, 74.36 %",N,,2025-09-05,오유경(yuyu66),2025년,09월,1주
106,기후변화매개체감시거점센터,강원1권,2025,9,1주,2025-09-03,강원,춘천시보건소,도심,DMS1,Anopheles spp.,1,2,0,0,0,0,"29, 39, 74.36 %",N,,2025-09-05,오유경(yuyu66),2025년,09월,1주
107,기후변화매개체감시거점센터,강원1권,2025,9,1주,2025-09-03,강원,춘천시보건소,도심,DMS1,Culex pipiens,25,2,12,25,1,0,"29, 39, 74.36 %",N,,2025-09-05,오유경(yuyu66),2025년,09월,1주
108,기후변화매개체감시거점센터,강원1권,2025,8,4주,2025-08-27,강원,춘천시보건소,도심,DMS1,Aedes albopictus,9,2,4,9,1,0,"43, 72, 59.72 %",N,,2025-08-29,오유경(yuyu66),2025년,08월,4주
109,기후변화매개체감시거점센터,강원1권,2025,8,4주,2025-08-27,강원,춘천시보건소,도심,DMS1,Culex pipiens,34,2,17,34,2,0,"43, 72, 59.72 %",N,,2025-08-29,오유경(yuyu66),2025년,08월,4주
110,기후변화매개체감시거점센터,강원1권,2025,8,3주,2025-08-20,강원,백로서식지,철새도래지,BGT1,Armigeres subalbatus,49,1,49,49,2,0,,N,,2025-08-22,오유경(yuyu66),2025년,08월,3주
111,기후변화매개체감시거점센터,강원1권,2025,8,3주,2025-08-20,강원,백로서식지,철새도래지,BGT1,Ochlerotatus koreicus,9,1,9,9,1,0,,N,,2025-08-22,오유경(yuyu66),2025년,08월,3주
112,기후변화매개체감시거점센터,강원1권,2025,8,3주,2025-08-20,강원,백로서식지,철새도래지,BGT1,Aedes vexans,1,1,1,1,1,0,,N,,2025-08-22,오유경(yuyu66),2025년,08월,3주
113,기후변화매개체감시거점센터,강원1권,2025,8,3주,2025-08-20,강원,백로서식지,철새도래지,BGT1,Aedes albopictus,37,1,37,37,2,0,,N,,2025-08-22,오유경(yuyu66),2025년,08월,3주
